TransactionID,AccountID,TransactionAmount,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance
1,128,14.09,380,16219821892,15,70,81,1,5112.21
2,455,376.24,51,13149614,52,68,141,1,13758.91
3,19,126.29,235,21597143157,9,19,56,1,1122.35
4,70,184.5,187,20013225150,2,26,25,1,8569.06
5,411,13.45,308,651643100,91,26,198,1,7429.4
6,393,92.15,579,11767192211,54,18,172,1,781.68
7,199,7.08,241,1.40212E+11,19,37,139,1,13316.71
8,69,171.42,500,9221476157,20,67,291,1,2796.24
9,135,106.23,690,2414892177,35,51,86,1,9095.14
10,385,815.96,199,321698841,7,55,120,1,1021.88
11,150,17.78,205,213159253,73,52,59,1,7599.52
12,459,190.02,589,11617511222,30,21,173,1,1528.81
13,392,494.52,32,21098198143,57,24,111,1,1620.02
14,264,781.76,54,193830183,25,26,123,1,189.69
15,85,166.99,309,18812418112,17,18,134,1,299.93
16,270,465.45,466,22116949152,25,36,129,1,3465.54
17,317,555.8,671,53218177171,48,19,158,1,1131.26
18,359,492.93,432,11422312947,59,39,234,1,5109.97
19,242,18.68,530,93218115132,54,59,106,1,7948.37
20,285,71.48,39,1201709369,39,18,169,1,6568.59
21,2,59.32,152,1164412250,40,71,38,1,5750.89
22,14,85.77,268,59132247252,65,38,93,1,9146.19
23,95,52.2,142,133639621,22,39,120,1,8974.93
24,453,345.84,162,19182103198,83,22,142,3,1402.5
25,241,145.54,36,1.19186E+11,28,21,96,1,1930.96
26,41,7.49,671,81248235147,43,65,276,1,3634.67
27,441,246.93,46,55154161250,29,23,158,5,673.35
28,57,40.32,310,2128321,8,37,95,1,2686.52
29,390,127.45,232,15223465155,92,44,197,1,1772.06
30,313,56.17,297,332813882,43,27,283,1,1351.69
31,367,28.31,587,35672123,91,59,20,1,8334.47
32,291,59.12,282,18719917827,53,29,257,1,9823.64
33,60,396.45,621,13367250163,7,49,168,3,9690.15
34,359,877.81,111,13414085231,94,22,150,1,399
35,365,255.26,357,9221476157,2,45,50,1,14815.87
36,267,124.76,42,5914524213,2,49,45,1,5764.72
37,404,78.13,250,332813882,28,26,145,1,900.61
38,202,649.28,448,7310876238,74,75,137,1,4875.86
39,478,795.31,77,492937185,48,66,90,2,7914.88
40,405,335.63,38,4920211229,40,55,216,1,1019.39
41,421,328.47,557,623410135,14,63,119,1,4323.66
42,480,34.02,627,1.09105E+11,46,38,19,1,14214.48
43,120,241.42,198,6089202192,44,57,116,1,13357.02
44,117,55.32,197,17313578201,9,19,117,1,241.79
45,11,304.31,685,77208193198,5,27,33,1,868.61
46,401,435.27,297,19716255147,51,74,90,1,4673.28
47,282,164.49,103,11311581178,70,26,75,1,1509.27
48,439,510.24,397,1861352148,90,19,105,1,781.7
49,296,626.9,284,9314625120,23,26,138,1,265.51
50,471,22.01,304,124613478,55,41,175,1,1335.09
51,159,425.34,661,13923212102,40,69,121,1,3907.54
52,482,424.56,598,17943245131,15,51,264,1,5183.85
53,115,85.43,235,1941742521,78,67,145,1,14904.9
54,55,169.5,442,42219228159,36,28,142,1,918.88
55,419,104.63,642,1861352148,95,62,90,1,4477.78
56,374,316.95,13,8110223041,52,25,83,1,1324.03
57,271,60.54,462,119876182,95,57,52,1,3534.93
58,456,292.56,311,19873211114,75,68,61,1,4638.37
59,143,386.52,145,1865468246,64,48,28,1,5630.61
60,427,112.07,89,1.98166E+11,64,23,51,1,930.3
61,438,568.52,233,27143109203,94,46,152,1,5499.91
62,2,263.99,285,714635122,87,79,227,2,4175.02
63,425,349.64,516,923041239,97,48,226,1,6651.62
64,325,601.4,548,1.25225E+11,1,56,104,1,8458.29
65,434,5.77,461,15516418235,71,50,124,1,13988.12
66,242,201.33,98,1.45246E+11,3,42,186,1,2585.07
67,319,298.42,435,9221476157,5,56,225,1,3014.75
68,460,521.06,305,131414513,63,25,128,1,1951.42
69,461,117.28,128,46150175171,57,60,16,1,3665.77
70,395,189.12,684,12589163224,40,32,103,1,977.01
71,217,133.55,201,4022619634,91,44,220,1,3846.28
72,53,143.21,410,651643100,66,35,135,1,6374.82
73,282,24.77,180,923041239,70,62,55,1,5866.01
74,110,233.92,295,1.5214E+11,46,26,280,1,6537.62
75,265,1212.51,231,193830183,36,20,24,1,605.95
76,239,232.12,73,1.56173E+11,66,37,51,1,6689.87
77,7,162.63,70,6015312480,60,22,113,1,634.17
78,22,91.53,363,9437250128,95,44,69,1,14676.05
79,464,120.29,561,16219821892,45,19,77,1,1362.39
80,14,174.25,375,1309220149,32,50,67,1,10528.34
81,406,183.71,488,86103229,74,38,102,1,552.52
82,445,345.39,97,131414513,81,58,80,1,6451.96
83,236,922.55,206,219715492,4,63,87,1,4715.84
84,220,259.91,616,3613239172,28,49,170,1,7176.86
85,140,154.71,494,1.67104E+11,30,34,157,1,1523.72
86,98,1340.19,574,16511422447,12,54,30,1,8654.28
87,303,24.56,428,161313140,33,64,69,1,9869.93
88,373,568.07,18,82434138,54,48,115,1,10556.81
89,438,9.61,453,1321275187,43,58,179,1,12883.91
90,437,392.96,141,1865468246,22,24,100,1,791.65
91,106,716.93,322,10122382253,52,60,34,1,4064.02
92,310,223.85,481,1.33223E+11,9,53,55,4,2929.91
93,149,230.66,526,6043160195,49,21,135,1,618.05
94,373,442.12,645,1683649167,47,19,260,1,1375.8
95,425,644.17,178,1653856205,93,29,72,1,1143.52
96,10,508.68,622,19310817115,48,51,127,1,7708.41
97,348,858.63,19,1.7523E+11,2,27,185,1,1872.96
98,11,25.36,192,6215213492,7,57,78,1,201.04
99,453,147.62,93,1498410818,28,71,133,1,2115.8
100,178,115.02,528,1.34222E+11,4,37,175,1,7643.66
101,265,383.37,321,1872115111,66,30,24,1,8901.93
102,18,98.54,528,3412522663,95,20,167,1,9383.43
103,75,83.24,607,2128321,9,55,164,1,1181.31
104,464,196.16,164,2043424393,99,27,146,1,9418.86
105,170,129.94,647,1.11226E+11,45,32,235,1,7954.92
106,235,306.9,78,9611567230,47,46,51,1,9418.08
107,13,114.98,182,1152184883,32,59,80,1,6144.68
108,397,756.59,28,174617754,12,27,17,1,420.65
109,423,503.76,518,2161516440,83,22,35,1,447.82
110,154,143.03,469,19716255147,55,63,147,1,7981.45
111,68,1045.22,400,777223184,77,53,73,1,1829.9
112,318,245.54,536,4419712659,89,25,180,1,985.06
113,396,254.37,477,14321247226,12,51,174,1,8849.26
114,121,213.76,574,51250122123,9,78,282,1,3528.72
115,336,327.86,655,18812418112,51,40,104,1,480.16
116,468,2.5,673,44733217,42,47,107,1,12145.27
117,282,300.08,266,8524025483,40,68,47,1,13546.75
118,498,56.98,256,1019040193,86,43,122,2,5688.37
119,85,407.65,544,98255160110,41,26,62,1,8346.64
120,92,115.83,663,124613478,86,39,167,1,6481.04
121,295,53.57,489,45647486,25,69,121,1,1651.33
122,358,63.34,434,698261135,28,46,165,1,11174.94
123,311,317.87,314,79227202117,76,27,91,1,145.5
124,66,331.65,37,26240219199,6,41,61,1,4172.57
125,340,5.04,21,6367150226,1,56,41,1,5558.36
126,284,214.54,112,1.95226E+11,26,70,247,1,11151.53
127,208,598.81,42,9221476157,81,57,158,1,1415.52
128,176,841.28,276,10122382253,83,26,80,1,1103.64
129,53,38.15,687,772115075,5,26,108,1,303.68
130,320,1036.66,15,53218177171,62,58,144,1,5541.57
131,382,124.72,118,1472342046,4,33,105,1,6309.8
132,384,302.45,52,2039996114,59,78,40,1,5133.61
